Palavra,Frequência
banco,475
btg,408
pra,386
limite,363
conta,319
cartão,310
melhor,228
agora,218
sempre,181
vai,172
fazer,172
dinheiro,168
ter,166
vcs,164
obrigado,161
flu,152
tudo,149
nunca,148
sobre,146
todos,145
dia,143
ainda,142
app,142
vou,141
bom,139
nada,132
pode,131
faz,126
atendimento,124
dias,123
investimento,117
q,117
crédito,116
tá,115
investimentos,112
quero,110
bem,109
cliente,107
pessoas,105
parabéns,104
todo,103
pesquisa,100
recebi,100
aqui,100
porque,98
mim,97
pois,95
boa,94
empresa,93
aí,89
hoje,87
saber,83
realmente,83
ver,80
mil,79
taxa,78
fiz,78
contato,77
tão,76
investir,75
clientes,74
apenas,73
pq,73
assim,72
pior,72
abrir,71
posso,71
valor,71
pro,70
vc,70
vem,69
pix,69
vida,69
vão,68
desde,66
vamos,66
pagamento,64
nao,64
ajuda,64
vez,64
bancos,64
desse,63
caso,62
algo,62
bolsonaro,62
deus,61
fatura,60
menos,60
cada,60
onde,60
retorno,59
gostaria,59
sendo,59
plataforma,58
dar,57
reais,57
antes,57
trabalho,57
maior,57
fazendo,56
qualquer,56
mês,55
então,55
brasil,55
outros,55
grande,55
gente,54
hora,54
consigo,54
quer,54
i,53
fez,53
corretora,53
pesquisas,53
ninguém,52
usar,52
semana,52
parte,52
vi,51
falta,51
péssimo,51
tentando,51
selic,50
lula,50
dá,50
ficar,50
sei,49
toda,49
nesse,48
black,48
todas,48
dessa,48
lucro,47
fluminense,47
entrar,47
coisa,46
contas,46
falar,46
queria,45
lá,45
tô,45
compra,45
tempo,45
acho,44
preciso,44
investi,44
ajudar,44
ja,44
além,43
outro,43
resposta,43
entender,42
excelente,42
mesma,42
outra,42
vergonha,41
pagar,41
sucesso,41
recomendo,41
ficou,41
após,41
erro,41
carteira,41
ano,41
obrigada,40
pouco,40
chat,40
p,40
aplicativo,40
alguém,39
assessor,39
mundo,39
porém,39
pago,39
vezes,39
uso,38
resolver,38
experiência,38
fica,38
sabe,38
time,38
favor,37
ordem,37
povo,37
nenhum,37
mercado,36
faço,36
processo,36
poder,36
to,36
cancelar,36
cara,36
sair,36
quanto,36
dizer,36
primeiro,35
abri,35
anos,35
reduziram,35
renda,35
meses,35
mensagem,35
duas,35
demais,34
incrível,33
tirar,33
infelizmente,33
difícil,33
governo,33
precisa,33
nome,33
fiquei,33
acredito,33
corretagem,32
novamente,32
diz,32
deu,32
receber,32
pessoa,32
forma,32
ontem,32
assessoria,32
melhores,32
ações,32
mandei,32
ótimo,31
